"No.","Tên Xã","Chú thích về Xã","No.","Tên Quận/Huyện","Chú thích về Quận/Huyện","No.","Tên Tĩnh","Chú thích về Tĩnh","Tạo từ","Lần cuối chỉnh sửa","Lần cuối xóa"
"","Xã 7018","Chú thích về Xã 7018","","Huyện 832","Chú thích về Huyện 832","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7019","Chú thích về Xã 7019","","Huyện 822","Chú thích về Huyện 822","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7020","Chú thích về Xã 7020","","Huyện 134","Chú thích về Huyện 134","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7021","Chú thích về Xã 7021","","Huyện 50","Chú thích về Huyện 50","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7022","Chú thích về Xã 7022","","Huyện 990","Chú thích về Huyện 990","","Tỉnh 55","Chú thích về Tỉnh 55","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7023","Chú thích về Xã 7023","","Huyện 195","Chú thích về Huyện 195","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7024","Chú thích về Xã 7024","","Huyện 215","Chú thích về Huyện 215","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7025","Chú thích về Xã 7025","","Huyện 306","Chú thích về Huyện 306","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7026","Chú thích về Xã 7026","","Huyện 707","Chú thích về Huyện 707","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7027","Chú thích về Xã 7027","","Huyện 412","Chú thích về Huyện 412","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7028","Chú thích về Xã 7028","","Huyện 452","Chú thích về Huyện 452","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7029","Chú thích về Xã 7029","","Huyện 625","Chú thích về Huyện 625","","Tỉnh 57","Chú thích về Tỉnh 57","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7030","Chú thích về Xã 7030","","Huyện 109","Chú thích về Huyện 109","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7031","Chú thích về Xã 7031","","Huyện 401","Chú thích về Huyện 401","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7032","Chú thích về Xã 7032","","Huyện 621","Chú thích về Huyện 621","","Tỉnh 38","Chú thích về Tỉnh 38","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7033","Chú thích về Xã 7033","","Huyện 688","Chú thích về Huyện 688","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7034","Chú thích về Xã 7034","","Huyện 348","Chú thích về Huyện 348","","Tỉnh 21","Chú thích về Tỉnh 21","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7035","Chú thích về Xã 7035","","Huyện 916","Chú thích về Huyện 916","","Tỉnh 59","Chú thích về Tỉnh 59","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7036","Chú thích về Xã 7036","","Huyện 737","Chú thích về Huyện 737","","Tỉnh 49","Chú thích về Tỉnh 49","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7037","Chú thích về Xã 7037","","Huyện 214","Chú thích về Huyện 214","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7038","Chú thích về Xã 7038","","Huyện 920","Chú thích về Huyện 920","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7039","Chú thích về Xã 7039","","Huyện 364","Chú thích về Huyện 364","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7040","Chú thích về Xã 7040","","Huyện 189","Chú thích về Huyện 189","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7041","Chú thích về Xã 7041","","Huyện 800","Chú thích về Huyện 800","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7042","Chú thích về Xã 7042","","Huyện 740","Chú thích về Huyện 740","","Tỉnh 51","Chú thích về Tỉnh 51","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7043","Chú thích về Xã 7043","","Huyện 431","Chú thích về Huyện 431","","Tỉnh 49","Chú thích về Tỉnh 49","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7044","Chú thích về Xã 7044","","Huyện 636","Chú thích về Huyện 636","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7045","Chú thích về Xã 7045","","Huyện 695","Chú thích về Huyện 695","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7046","Chú thích về Xã 7046","","Huyện 223","Chú thích về Huyện 223","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7047","Chú thích về Xã 7047","","Huyện 684","Chú thích về Huyện 684","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7048","Chú thích về Xã 7048","","Huyện 48","Chú thích về Huyện 48","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7049","Chú thích về Xã 7049","","Huyện 172","Chú thích về Huyện 172","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7050","Chú thích về Xã 7050","","Huyện 943","Chú thích về Huyện 943","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7051","Chú thích về Xã 7051","","Huyện 100","Chú thích về Huyện 100","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7052","Chú thích về Xã 7052","","Huyện 668","Chú thích về Huyện 668","","Tỉnh 58","Chú thích về Tỉnh 58","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7053","Chú thích về Xã 7053","","Huyện 732","Chú thích về Huyện 732","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7054","Chú thích về Xã 7054","","Huyện 29","Chú thích về Huyện 29","","Tỉnh 11","Chú thích về Tỉnh 11","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7055","Chú thích về Xã 7055","","Huyện 280","Chú thích về Huyện 280","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7056","Chú thích về Xã 7056","","Huyện 794","Chú thích về Huyện 794","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7057","Chú thích về Xã 7057","","Huyện 708","Chú thích về Huyện 708","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7058","Chú thích về Xã 7058","","Huyện 402","Chú thích về Huyện 402","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7059","Chú thích về Xã 7059","","Huyện 829","Chú thích về Huyện 829","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7060","Chú thích về Xã 7060","","Huyện 434","Chú thích về Huyện 434","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7061","Chú thích về Xã 7061","","Huyện 457","Chú thích về Huyện 457","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7062","Chú thích về Xã 7062","","Huyện 727","Chú thích về Huyện 727","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7063","Chú thích về Xã 7063","","Huyện 435","Chú thích về Huyện 435","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7064","Chú thích về Xã 7064","","Huyện 376","Chú thích về Huyện 376","","Tỉnh 17","Chú thích về Tỉnh 17","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7065","Chú thích về Xã 7065","","Huyện 627","Chú thích về Huyện 627","","Tỉnh 8","Chú thích về Tỉnh 8","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7066","Chú thích về Xã 7066","","Huyện 556","Chú thích về Huyện 556","","Tỉnh 53","Chú thích về Tỉnh 53","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7067","Chú thích về Xã 7067","","Huyện 438","Chú thích về Huyện 438","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7068","Chú thích về Xã 7068","","Huyện 954","Chú thích về Huyện 954","","Tỉnh 45","Chú thích về Tỉnh 45","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7069","Chú thích về Xã 7069","","Huyện 832","Chú thích về Huyện 832","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7070","Chú thích về Xã 7070","","Huyện 188","Chú thích về Huyện 188","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7071","Chú thích về Xã 7071","","Huyện 538","Chú thích về Huyện 538","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7072","Chú thích về Xã 7072","","Huyện 383","Chú thích về Huyện 383","","Tỉnh 11","Chú thích về Tỉnh 11","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7073","Chú thích về Xã 7073","","Huyện 131","Chú thích về Huyện 131","","Tỉnh 5","Chú thích về Tỉnh 5","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7074","Chú thích về Xã 7074","","Huyện 712","Chú thích về Huyện 712","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7075","Chú thích về Xã 7075","","Huyện 721","Chú thích về Huyện 721","","Tỉnh 15","Chú thích về Tỉnh 15","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7076","Chú thích về Xã 7076","","Huyện 333","Chú thích về Huyện 333","","Tỉnh 60","Chú thích về Tỉnh 60","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7077","Chú thích về Xã 7077","","Huyện 437","Chú thích về Huyện 437","","Tỉnh 11","Chú thích về Tỉnh 11","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7078","Chú thích về Xã 7078","","Huyện 73","Chú thích về Huyện 73","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7079","Chú thích về Xã 7079","","Huyện 750","Chú thích về Huyện 750","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7080","Chú thích về Xã 7080","","Huyện 118","Chú thích về Huyện 118","","Tỉnh 64","Chú thích về Tỉnh 64","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7081","Chú thích về Xã 7081","","Huyện 168","Chú thích về Huyện 168","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7082","Chú thích về Xã 7082","","Huyện 439","Chú thích về Huyện 439","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7083","Chú thích về Xã 7083","","Huyện 334","Chú thích về Huyện 334","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7084","Chú thích về Xã 7084","","Huyện 212","Chú thích về Huyện 212","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7085","Chú thích về Xã 7085","","Huyện 700","Chú thích về Huyện 700","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7086","Chú thích về Xã 7086","","Huyện 969","Chú thích về Huyện 969","","Tỉnh 56","Chú thích về Tỉnh 56","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7087","Chú thích về Xã 7087","","Huyện 604","Chú thích về Huyện 604","","Tỉnh 13","Chú thích về Tỉnh 13","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7088","Chú thích về Xã 7088","","Huyện 134","Chú thích về Huyện 134","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7089","Chú thích về Xã 7089","","Huyện 281","Chú thích về Huyện 281","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7090","Chú thích về Xã 7090","","Huyện 266","Chú thích về Huyện 266","","Tỉnh 47","Chú thích về Tỉnh 47","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7091","Chú thích về Xã 7091","","Huyện 523","Chú thích về Huyện 523","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7092","Chú thích về Xã 7092","","Huyện 469","Chú thích về Huyện 469","","Tỉnh 8","Chú thích về Tỉnh 8","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7093","Chú thích về Xã 7093","","Huyện 62","Chú thích về Huyện 62","","Tỉnh 11","Chú thích về Tỉnh 11","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7094","Chú thích về Xã 7094","","Huyện 93","Chú thích về Huyện 93","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7095","Chú thích về Xã 7095","","Huyện 26","Chú thích về Huyện 26","","Tỉnh 59","Chú thích về Tỉnh 59","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7096","Chú thích về Xã 7096","","Huyện 576","Chú thích về Huyện 576","","Tỉnh 63","Chú thích về Tỉnh 63","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7097","Chú thích về Xã 7097","","Huyện 689","Chú thích về Huyện 689","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7098","Chú thích về Xã 7098","","Huyện 77","Chú thích về Huyện 77","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7099","Chú thích về Xã 7099","","Huyện 389","Chú thích về Huyện 389","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7100","Chú thích về Xã 7100","","Huyện 286","Chú thích về Huyện 286","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7101","Chú thích về Xã 7101","","Huyện 795","Chú thích về Huyện 795","","Tỉnh 21","Chú thích về Tỉnh 21","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7102","Chú thích về Xã 7102","","Huyện 904","Chú thích về Huyện 904","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7103","Chú thích về Xã 7103","","Huyện 180","Chú thích về Huyện 180","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7104","Chú thích về Xã 7104","","Huyện 215","Chú thích về Huyện 215","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7105","Chú thích về Xã 7105","","Huyện 835","Chú thích về Huyện 835","","Tỉnh 46","Chú thích về Tỉnh 46","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7106","Chú thích về Xã 7106","","Huyện 620","Chú thích về Huyện 620","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7107","Chú thích về Xã 7107","","Huyện 378","Chú thích về Huyện 378","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7108","Chú thích về Xã 7108","","Huyện 5","Chú thích về Huyện 5","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7109","Chú thích về Xã 7109","","Huyện 870","Chú thích về Huyện 870","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7110","Chú thích về Xã 7110","","Huyện 263","Chú thích về Huyện 263","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7111","Chú thích về Xã 7111","","Huyện 606","Chú thích về Huyện 606","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7112","Chú thích về Xã 7112","","Huyện 913","Chú thích về Huyện 913","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7113","Chú thích về Xã 7113","","Huyện 127","Chú thích về Huyện 127","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7114","Chú thích về Xã 7114","","Huyện 346","Chú thích về Huyện 346","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7115","Chú thích về Xã 7115","","Huyện 507","Chú thích về Huyện 507","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7116","Chú thích về Xã 7116","","Huyện 431","Chú thích về Huyện 431","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7117","Chú thích về Xã 7117","","Huyện 185","Chú thích về Huyện 185","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7118","Chú thích về Xã 7118","","Huyện 105","Chú thích về Huyện 105","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7119","Chú thích về Xã 7119","","Huyện 673","Chú thích về Huyện 673","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7120","Chú thích về Xã 7120","","Huyện 582","Chú thích về Huyện 582","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7121","Chú thích về Xã 7121","","Huyện 938","Chú thích về Huyện 938","","Tỉnh 45","Chú thích về Tỉnh 45","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7122","Chú thích về Xã 7122","","Huyện 884","Chú thích về Huyện 884","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7123","Chú thích về Xã 7123","","Huyện 339","Chú thích về Huyện 339","","Tỉnh 45","Chú thích về Tỉnh 45","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7124","Chú thích về Xã 7124","","Huyện 97","Chú thích về Huyện 97","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7125","Chú thích về Xã 7125","","Huyện 85","Chú thích về Huyện 85","","Tỉnh 49","Chú thích về Tỉnh 49","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7126","Chú thích về Xã 7126","","Huyện 642","Chú thích về Huyện 642","","Tỉnh 63","Chú thích về Tỉnh 63","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7127","Chú thích về Xã 7127","","Huyện 844","Chú thích về Huyện 844","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7128","Chú thích về Xã 7128","","Huyện 315","Chú thích về Huyện 315","","Tỉnh 5","Chú thích về Tỉnh 5","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7129","Chú thích về Xã 7129","","Huyện 205","Chú thích về Huyện 205","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7130","Chú thích về Xã 7130","","Huyện 110","Chú thích về Huyện 110","","Tỉnh 64","Chú thích về Tỉnh 64","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7131","Chú thích về Xã 7131","","Huyện 584","Chú thích về Huyện 584","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7132","Chú thích về Xã 7132","","Huyện 323","Chú thích về Huyện 323","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7133","Chú thích về Xã 7133","","Huyện 160","Chú thích về Huyện 160","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7134","Chú thích về Xã 7134","","Huyện 240","Chú thích về Huyện 240","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7135","Chú thích về Xã 7135","","Huyện 396","Chú thích về Huyện 396","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7136","Chú thích về Xã 7136","","Huyện 796","Chú thích về Huyện 796","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7137","Chú thích về Xã 7137","","Huyện 669","Chú thích về Huyện 669","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7138","Chú thích về Xã 7138","","Huyện 457","Chú thích về Huyện 457","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7139","Chú thích về Xã 7139","","Huyện 853","Chú thích về Huyện 853","","Tỉnh 21","Chú thích về Tỉnh 21","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7140","Chú thích về Xã 7140","","Huyện 580","Chú thích về Huyện 580","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7141","Chú thích về Xã 7141","","Huyện 55","Chú thích về Huyện 55","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7142","Chú thích về Xã 7142","","Huyện 707","Chú thích về Huyện 707","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7143","Chú thích về Xã 7143","","Huyện 391","Chú thích về Huyện 391","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7144","Chú thích về Xã 7144","","Huyện 372","Chú thích về Huyện 372","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7145","Chú thích về Xã 7145","","Huyện 975","Chú thích về Huyện 975","","Tỉnh 11","Chú thích về Tỉnh 11","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7146","Chú thích về Xã 7146","","Huyện 170","Chú thích về Huyện 170","","Tỉnh 59","Chú thích về Tỉnh 59","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7147","Chú thích về Xã 7147","","Huyện 464","Chú thích về Huyện 464","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7148","Chú thích về Xã 7148","","Huyện 929","Chú thích về Huyện 929","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7149","Chú thích về Xã 7149","","Huyện 932","Chú thích về Huyện 932","","Tỉnh 18","Chú thích về Tỉnh 18","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7150","Chú thích về Xã 7150","","Huyện 550","Chú thích về Huyện 550","","Tỉnh 64","Chú thích về Tỉnh 64","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7151","Chú thích về Xã 7151","","Huyện 985","Chú thích về Huyện 985","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7152","Chú thích về Xã 7152","","Huyện 445","Chú thích về Huyện 445","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7153","Chú thích về Xã 7153","","Huyện 570","Chú thích về Huyện 570","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7154","Chú thích về Xã 7154","","Huyện 293","Chú thích về Huyện 293","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7155","Chú thích về Xã 7155","","Huyện 65","Chú thích về Huyện 65","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7156","Chú thích về Xã 7156","","Huyện 845","Chú thích về Huyện 845","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7157","Chú thích về Xã 7157","","Huyện 4","Chú thích về Huyện 4","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7158","Chú thích về Xã 7158","","Huyện 715","Chú thích về Huyện 715","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7159","Chú thích về Xã 7159","","Huyện 580","Chú thích về Huyện 580","","Tỉnh 50","Chú thích về Tỉnh 50","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7160","Chú thích về Xã 7160","","Huyện 942","Chú thích về Huyện 942","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:53","2020-08-25 18:45:53",""
"","Xã 7161","Chú thích về Xã 7161","","Huyện 458","Chú thích về Huyện 458","","Tỉnh 22","Chú thích về Tỉnh 22","2020-08-25 18:45:53","2020-08-25 18:45:53",""
